col:ID	col:doi	col:type	col:author	col:editor	col:issued	col:title	col:containerAuthor	col:containerTitle	col:volume	col:issue	col:edition	col:page	col:publisher	col:publisherPlace	col:collectionTitle	col:collectionEditor	col:link	col:accessed	col:version	col:isbn	col:issn	col:remarks	col:citation
ZOBO00033014			Antonio Giordani Soika		1941	Studi sui Vespidi solitari I. Gli Eumenes s. str. della regione paleartica orientale		Boll.Mus.Civ.Stor.nat.Venezia 2: (1941): Boll. Mus. civ. St. nat. Venezia															Antonio Giordani Soika. Studi sui Vespidi solitari I. Gli Eumenes s. str. della regione paleartica orientale. Boll.Mus.Civ.Stor.nat.Venezia 2: (1941): Boll. Mus. civ. St. nat. Venezia. (1941).
ZOBO00032328					2009	A Catalogue of the Eumeninae (Hymenoptera: Vespidae) of the Ethiopian Region excluding Malagasy Subregion. Part I: Introduction, Key to Genera, Genera Aethiopicodynerus GUSENLEITNER 1997 to Cyrtolabulus van der VECHT 1969		LBB 0041_1: diverse (2009): LBB 41/1/2009 992 pp.															James M. Carpenter, Josef Gusenleitner, Michael Madl. A Catalogue of the Eumeninae (Hymenoptera: Vespidae) of the Ethiopian Region excluding Malagasy Subregion. Part I: Introduction, Key to Genera, Genera Aethiopicodynerus GUSENLEITNER 1997 to Cyrtolabulus van der VECHT 1969. LBB 0041_1: diverse (2009): LBB 41/1/2009 992 pp. (2009).
ZOBO00153940					2009	A Catalogue of the Eumeninae (Hymenoptera: Vespidae) of the Ethiopian Region excluding Malagasy Subregion. Part I: Introduction, Key to Genera, Genera Aethiopicodynerus GUSENLEITNER 1997 to Cyrtolabulus van der VECHT 1969		LBB 0041_1: diverse (2009): LBB 41/1/2009 992 pp.															James M. Carpenter, Josef Gusenleitner, Michael Madl. A Catalogue of the Eumeninae (Hymenoptera: Vespidae) of the Ethiopian Region excluding Malagasy Subregion. Part I: Introduction, Key to Genera, Genera Aethiopicodynerus GUSENLEITNER 1997 to Cyrtolabulus van der VECHT 1969. LBB 0041_1: diverse (2009): LBB 41/1/2009 992 pp. (2009).
ZOBO00035742			Antonio Giordani Soika		1935	Contributions à l'étude de la faune du Mozambique		Mems Estud.Mus.zool.Univ.Coimbra 82/I: (1935): Memórias e Estudos do Museu Zoológico da Universidade de Coimbra															Antonio Giordani Soika. Contributions à l'étude de la faune du Mozambique. Mems Estud.Mus.zool.Univ.Coimbra 82/I: (1935): Memórias e Estudos do Museu Zoológico da Universidade de Coimbra. (1935).
ZOBO00034196			Antonio Giordani Soika		1941	Studi sui Vespidi solitari VI. Studio di alcuni tipi di vespidi solitari.		Boll.Mus.Civ.Stor.nat.Venezia 2: (1941): Boll. Mus. civ. St. nat. Venezia															Antonio Giordani Soika. Studi sui Vespidi solitari VI. Studio di alcuni tipi di vespidi solitari. Boll.Mus.Civ.Stor.nat.Venezia 2: (1941): Boll. Mus. civ. St. nat. Venezia. (1941).
ZOBO00034619			Antonio Giordani Soika		1957	Biogeografia evoluzione e sistematica dei Vespidi solitari della Polinesia meridionale		Boll.Mus.Civ.Stor.nat.Venezia 10: (1957): Bollettino del Museo Civico di Storia Naturale di Venezia															Antonio Giordani Soika. Biogeografia evoluzione e sistematica dei Vespidi solitari della Polinesia meridionale. Boll.Mus.Civ.Stor.nat.Venezia 10: (1957): Bollettino del Museo Civico di Storia Naturale di Venezia. (1957).
ZOBO00125490			Antonio Giordani Soika		1961	Gli Odynerus sensu antiquo del Continente australiano e della Tasmania		Boll.Mus.Civ.Stor.nat.Venezia 14: (1961): Bollettino del Museo Civico di Storia naturale di Venezia															Antonio Giordani Soika. Gli Odynerus sensu antiquo del Continente australiano e della Tasmania. Boll.Mus.Civ.Stor.nat.Venezia 14: (1961): Bollettino del Museo Civico di Storia naturale di Venezia. (1961).
ZOBO00125745			Antonio Giordani Soika		1941	Studi sui Vespidi solitari VI. Studio di alcuni tipi di vespidi solitari.		Boll.Mus.Civ.Stor.nat.Venezia 2: (1941): Boll. Mus. civ. St. nat. Venezia															Antonio Giordani Soika. Studi sui Vespidi solitari VI. Studio di alcuni tipi di vespidi solitari. Boll.Mus.Civ.Stor.nat.Venezia 2: (1941): Boll. Mus. civ. St. nat. Venezia. (1941).
ZOBO00125577			Antonio Giordani Soika		1934	Ricerche sistematiche sugli Eumenes e Pareumenes dell'Arcipelago Malese e della Nuova Guinea		Ann. Mus. civ. Stor. nat. Genova 57: (1934): Annali del Museo Civico di Storia Naturale di Genova															Antonio Giordani Soika. Ricerche sistematiche sugli Eumenes e Pareumenes dell'Arcipelago Malese e della Nuova Guinea. Ann. Mus. civ. Stor. nat. Genova 57: (1934): Annali del Museo Civico di Storia Naturale di Genova. (1934).
ZOBO00033322					2010	A Catalogue of the Eumeninae (Hymenoptera: Vespidae) of the Ethiopian Region excluding Malagasy Subregion. Part II: Genera Delta de SAUSSURE 1885 to Zethus FABRICIUS 1804 and Species Incertae Sedis		LBB 0042_1: diverse (2010): LBB 42/1/2010 844 pp.															James M. Carpenter, Josef Gusenleitner, Michael Madl. A Catalogue of the Eumeninae (Hymenoptera: Vespidae) of the Ethiopian Region excluding Malagasy Subregion. Part II: Genera Delta de SAUSSURE 1885 to Zethus FABRICIUS 1804 and Species Incertae Sedis. LBB 0042_1: diverse (2010): LBB 42/1/2010 844 pp. (2010).
ZOBO00032381					2009	A Catalogue of the Eumeninae (Hymenoptera: Vespidae) of the Ethiopian Region excluding Malagasy Subregion. Part I: Introduction, Key to Genera, Genera Aethiopicodynerus GUSENLEITNER 1997 to Cyrtolabulus van der VECHT 1969		LBB 0041_1: diverse (2009): LBB 41/1/2009 992 pp.															James M. Carpenter, Josef Gusenleitner, Michael Madl. A Catalogue of the Eumeninae (Hymenoptera: Vespidae) of the Ethiopian Region excluding Malagasy Subregion. Part I: Introduction, Key to Genera, Genera Aethiopicodynerus GUSENLEITNER 1997 to Cyrtolabulus van der VECHT 1969. LBB 0041_1: diverse (2009): LBB 41/1/2009 992 pp. (2009).
ZOBO00032636			Antonio Giordani Soika		1969	Revisione dei Discoeliinae australiani		Boll.Mus.Civ.Stor.nat.Venezia 19: (1969): Bollettino del Museo Civico di Storia Naturale di Venezia															Antonio Giordani Soika. Revisione dei Discoeliinae australiani. Boll.Mus.Civ.Stor.nat.Venezia 19: (1969): Bollettino del Museo Civico di Storia Naturale di Venezia. (1969).
ZOBO00032468					2009	A Catalogue of the Eumeninae (Hymenoptera: Vespidae) of the Ethiopian Region excluding Malagasy Subregion. Part I: Introduction, Key to Genera, Genera Aethiopicodynerus GUSENLEITNER 1997 to Cyrtolabulus van der VECHT 1969		LBB 0041_1: diverse (2009): LBB 41/1/2009 992 pp.															James M. Carpenter, Josef Gusenleitner, Michael Madl. A Catalogue of the Eumeninae (Hymenoptera: Vespidae) of the Ethiopian Region excluding Malagasy Subregion. Part I: Introduction, Key to Genera, Genera Aethiopicodynerus GUSENLEITNER 1997 to Cyrtolabulus van der VECHT 1969. LBB 0041_1: diverse (2009): LBB 41/1/2009 992 pp. (2009).
ZOBO00032112					2009	A Catalogue of the Eumeninae (Hymenoptera: Vespidae) of the Ethiopian Region excluding Malagasy Subregion. Part I: Introduction, Key to Genera, Genera Aethiopicodynerus GUSENLEITNER 1997 to Cyrtolabulus van der VECHT 1969		LBB 0041_1: diverse (2009): LBB 41/1/2009 992 pp.															James M. Carpenter, Josef Gusenleitner, Michael Madl. A Catalogue of the Eumeninae (Hymenoptera: Vespidae) of the Ethiopian Region excluding Malagasy Subregion. Part I: Introduction, Key to Genera, Genera Aethiopicodynerus GUSENLEITNER 1997 to Cyrtolabulus van der VECHT 1969. LBB 0041_1: diverse (2009): LBB 41/1/2009 992 pp. (2009).
