ID	parentID	basionymID	status	rank	scientificName	authorship	nameStatus	nameReferenceID	namePublishedInYear	namePublishedInPage	namePublishedInPageLink	referenceID	scrutinizer	scrutinizerDate	extinct	temporalRangeStart	temporalRangeEnd	remarks
ZOBO00037078	xBU		accepted	species	Paraleptomenes nurseanus	Giordani Soika, 1970		ZOBO00010025					Gusenleitner J.	2011-11	f			
ZOBO00034391	xAW		accepted	species	Paramischocyttarus buyssoni	Gribodo, 1896		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034392	xAW		accepted	species	Paramischocyttarus guichardi	Giordani Soika, 1987		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034393	xAW		accepted	species	Paramischocyttarus lacuum	Stadelmann, 1898		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034394	xAW		accepted	species	Paramischocyttarus subtilis	Magretti, 1884		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00125166	x46		accepted	species	Parancistrocerus inconstans	(de Saussure)		ZOBO00031812					Gusenleitner J.	2011-11	f			
ZOBO00034434	x46		accepted	species	Parancistrocerus incorruptus	Giordani Soika, 1972		ZOBO00032148					Gusenleitner J.	2011-11	f			
ZOBO00034435	ZOBO00034434		accepted	subspecies	Parancistrocerus incorruptus demens	Giordani Soika, 1972		ZOBO00032148					Gusenleitner J.	2011-11	f			
ZOBO00034437	x46		accepted	species	Parancistrocerus irritatus	Giordani Soika, 1972		ZOBO00032148					Gusenleitner J.	2011-11	f			
ZOBO00125296	x3L		accepted	species	Paranortonia flavotestacea	Giordani Soika		ZOBO00125296					Gusenleitner J.	2011-11	f			
ZOBO00125314	x3L		accepted	species	Paranortonia guaranitica	(Berton)		ZOBO00125296					Gusenleitner J.	2011-11	f			
ZOBO00125311	x3L		accepted	species	Paranortonia lugens	Schulthess		ZOBO00125296					Gusenleitner J.	2011-11	f			
ZOBO00125312	x3L		accepted	species	Paranortonia mimica	Kohl		ZOBO00125296					Gusenleitner J.	2011-11	f			
ZOBO00125313	x3L		accepted	species	Paranortonia polybioides	(Schulthess)		ZOBO00125296					Gusenleitner J.	2011-11	f			
ZOBO00153023	xFG		accepted	species	Paravespa africana	(Carpenther, Gusenleitner, Madl, 2010)		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034541	xFG		accepted	species	Paravespa bonellii	Giordani Soika, 1982		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034542	xFG		accepted	species	Paravespa dewittei	Giordani Soika, 1960		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034543	xFG		accepted	species	Paravespa gestroi	(Magretti, 1884)		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00154035	ZOBO00034543		accepted	subspecies	Paravespa gestroi gestroi	(Magretti, 1884)		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034544	ZOBO00034543		accepted	subspecies	Paravespa gestroi problematica	Giordani Soika, 1960		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034558	xFG		accepted	species	Paravespa grandis	(Moravitz, 1885)		ZOBO00018081					Gusenleitner J.	2011-11	f			
