col:taxonID	col:sourceID	col:areaID	col:area	col:gazetteer	col:status	col:referenceID	col:remarks
ZOBO00036389			USA	text	native		
ZOBO00036384			CHN KOR RUS	text	native		
ZOBO00036370			USA	text	native		
ZOBO00036371			MEX USA	text	native		
ZOBO00036368			CZE	text	native		
ZOBO00036377			CUB	text	native		
ZOBO00036374			DOM JAM	text	native		
ZOBO00036375			PRI	text	native		
ZOBO00036376			GLP	text	native		
ZOBO00036359			BLZ GTM MEX PAN PER PRY	text	native		
ZOBO00036361			GUF	text	native		
ZOBO00036353			BRA COL CRI GTM GUF MEX VEN	text	native		
ZOBO00036364			ARG	text	native		
ZOBO00036365			CHN	text	native		
ZOBO00036366			CHN NZL RUS	text	native		
ZOBO00036362			USA	text	native		
ZOBO00036363			ARG BOL PRY	text	native		
ZOBO00036434			THA	text	native		
ZOBO00036436			TZA	text	native		
ZOBO00036426			BOL BRA PER	text	native		
ZOBO00036428			VEN	text	native		
ZOBO00036419			CUB	text	native		
ZOBO00036409			CHN TWN	text	native		
ZOBO00036410			PER	text	native		
ZOBO00036405			CAN MEX USA	text	native		
ZOBO00039735			USA	text	native		
ZOBO00036406			USA	text	native		
ZOBO00036400			ARG	text	native		
ZOBO00036402			USA	text	native		
ZOBO00036486			PER	text	native		
ZOBO00036484			USA	text	native		
ZOBO00036483			BRA MEX	text	native		
ZOBO00036481			BUR IND MDG MDV MRT MUS NCL NPL SYC THA VNM	text	native		
ZOBO00036479			BRA GUF PER	text	native		
ZOBO00036472			IDN	text	native		
ZOBO00036467			VEN	text	native		
ZOBO00036464			USA	text	native		
ZOBO00036461			ARG	text	native		
ZOBO00036452			BDI CMR COD GIN KEN MLI MOZ MWI SEN TGO TZA YEM ZAF ZMB	text	native		
ZOBO00043898			GIN	text	native		
ZOBO00036450			CHN TWN	text	native		
ZOBO00036451			PER	text	native		
ZOBO00036444			CRI CUB JAM MEX USA	text	native		
ZOBO00036448			PER VEN	text	native		
ZOBO00036446			USA	text	native		
ZOBO00036449			RUS	text	native		
